+-----------------------------------+-----------------+-------+
| Hostname                          | IP              | RType |
+-----------------------------------+-----------------+-------+
| 3netbd.com                        | 75.2.37.224     |   A   |
| 3rcommunications.com              | 103.48.119.102  |   A   |
| 4gnetworkbd.com                   | 191.101.50.140  |   A   |
| a1cyberlinkbd.com                 | 103.48.119.185  |   A   |
| abcflixbd.com                     | 103.111.36.60   |   A   |
| abcmoviesbd.com                   | 103.103.239.66  |   A   |
| abibd.com                         | 66.165.253.235  |   A   |
| activembd.com                     | 209.240.106.237 |   A   |
| ad.dfnbd.net                      | unresolvable    | error |
| addanetwork.net                   | 103.19.255.244  |   A   |
| adtv.ercdn.net                    | unresolvable    | error |
| afdah.info                        | 104.21.235.55   |   A   |
| akkadukka.com                     | 103.59.38.75    |   A   |
| aklivetv.com                      | 103.138.172.178 |   A   |
| aktube.live                       | 103.138.172.174 |   A   |
| alifanet.com                      | 208.76.53.178   |   A   |
| allserver.yolasite.com            | 104.16.161.215  |   A   |
| alphamediazone.com                | 172.28.28.28    |   A   |
| amaderftp.net                     | 2.2.2.2         |   A   |
| amrbd.com                         | 172.67.139.165  |   A   |
| antbdonlinegaming.blogspot.com    | 172.217.194.132 | CNAME |
| anthousebd.net                    | 199.59.242.153  |   A   |
| applelinkbd.net                   | 103.111.225.4   |   A   |
| arishabd.net                      | 95.217.48.81    |   A   |
| as-bd.net                         | 64.188.2.216    |   A   |
| asianftp.com                      | 103.124.248.130 |   A   |
| asiannetworkbd.net                | 162.0.232.102   |   A   |
| asmabroadbandnetwork.com          | 23.29.122.195   |   A   |
| axemovies.net                     | 185.107.56.200  |   A   |
| bandhanbd.watchonlinemovies24.com | 69.16.230.42    | CNAME |
| banglaftp.com                     | 45.33.2.79      |   A   |
| basnetbd.com                      | 167.86.113.96   |   A   |
| bd7hub.net                        | 67.227.226.240  |   A   |
| bdbroadband.com                   | 209.126.10.44   |   A   |
| bdcinema.net                      | 10.253.253.250  |   A   |
| bdcineplex.com                    | 103.117.229.242 |   A   |
| bddreamnet.blogspot.com           | 172.217.194.132 | CNAME |
| bdflixlive.com                    | 59.152.103.202  |   A   |
| bdfun.club                        | 192.168.92.2    |   A   |
| bdiptv.com                        | 104.21.49.143   |   A   |
| bdiptv.net                        | 15.1.1.10       |   A   |
| bdiptv.stream                     | 172.67.196.78   |   A   |
| bdix.hitechisp.com                | unresolvable    | error |
| bdix.itcnbd.com                   | 103.148.14.6    |   A   |
| bdix.mtbsl.com                    | 188.165.204.31  |   A   |
| bdix.wapka.me                     | 103.224.182.253 |   A   |
